test,config,task_id,timestamp,pattern,model,n_agents,n_rounds_to_consensus,converged,final_answer,total_tokens_generated,tokens_per_agent_round,total_latency_s,gpu_energy_j,total_energy_j,prompt_text,concurrency
headline,select,48812dc7,2026-03-15T01:38:21.757945,select,Qwen/Qwen3.5-27B,3,1,True,billing,6,2.0,8.8263,2095.925,2095.925,I was charged twice for my subscription last month and I need a refund immediately.,1
headline,select,d04167ca,2026-03-15T01:38:30.902436,select,Qwen/Qwen3.5-27B,3,1,True,technical,6,2.0,0.8756,236.59,236.59,My internet keeps dropping every 30 minutes and I've already restarted the router.,1
headline,select,ea969daa,2026-03-15T01:38:31.785976,select,Qwen/Qwen3.5-27B,3,1,True,cancellation,9,3.0,0.3663,156.967,156.967,I want to cancel my account effective immediately and get a prorated refund.,1
headline,select,366de8aa,2026-03-15T01:38:32.160568,select,Qwen/Qwen3.5-27B,3,1,True,general,6,2.0,0.2507,66.043,66.043,What are your business hours and do you have a location near downtown?,1
headline,select,b1708019,2026-03-15T01:38:32.416110,select,Qwen/Qwen3.5-27B,3,1,True,technical,6,2.0,0.3283,141.719,141.719,The app crashes every time I try to upload a file larger than 10MB.,1
headline,select,00869330,2026-03-15T01:38:32.755079,select,Qwen/Qwen3.5-27B,3,1,True,general,6,2.0,0.3346,91.043,91.043,Can you explain the difference between your premium and basic plans?,1
headline,select,8699a309,2026-03-15T01:38:33.096024,select,Qwen/Qwen3.5-27B,3,1,True,billing,6,2.0,0.3258,97.317,97.317,I need to update the credit card on file for automatic payments.,1
headline,select,8a750db6,2026-03-15T01:38:33.426747,select,Qwen/Qwen3.5-27B,3,1,True,technical,6,2.0,0.1558,86.639,86.639,My smart home device won't connect to the WiFi after the firmware update.,1
headline,select,7705686a,2026-03-15T01:38:33.602269,select,Qwen/Qwen3.5-27B,3,1,True,general,6,2.0,0.3247,94.296,94.296,I'm moving next month and need to transfer my service to a new address.,1
headline,select,95785fcf,2026-03-15T01:38:33.942490,select,Qwen/Qwen3.5-27B,3,1,True,billing,6,2.0,0.1549,37.601,37.601,Your website says my payment failed but my bank shows it went through.,1
headline,select,70ceb760,2026-03-15T01:38:34.103237,select,Qwen/Qwen3.5-27B,3,1,True,cancellation,9,3.0,0.3447,149.955,149.955,I've been a customer for 5 years and I'm thinking about switching to a competitor.,1
headline,select,0fe96fd6,2026-03-15T01:38:34.465062,select,Qwen/Qwen3.5-27B,3,1,True,technical,6,2.0,0.1558,36.921,36.921,The remote control for my cable box isn't responding to any button presses.,1
headline,select,02fb11ae,2026-03-15T01:38:34.626214,select,Qwen/Qwen3.5-27B,3,1,True,general,6,2.0,0.1559,86.003,86.003,I'd like to add a second line to my family plan. What are the options?,1
headline,select,08f73f9d,2026-03-15T01:38:34.787142,select,Qwen/Qwen3.5-27B,3,1,True,billing,6,2.0,0.1554,89.478,89.478,My bill this month is $40 higher than usual and I don't see any explanation.,1
headline,select,1065e4bc,2026-03-15T01:38:34.967042,select,Qwen/Qwen3.5-27B,3,1,True,technical,6,2.0,0.1654,35.052,35.052,I can't log into my account even after resetting my password three times.,1
headline,select,92ff609a,2026-03-15T01:38:35.142227,select,Qwen/Qwen3.5-27B,3,1,True,billing,6,2.0,0.1556,38.905,38.905,Do you offer any senior citizen discounts on your monthly plans?,1
headline,select,799a6637,2026-03-15T01:38:35.303219,select,Qwen/Qwen3.5-27B,3,1,True,technical,6,2.0,0.1523,89.352,89.352,The picture quality on my streaming is terrible even though I have gigabit internet.,1
headline,select,cea22c95,2026-03-15T01:38:35.462473,select,Qwen/Qwen3.5-27B,3,1,True,billing,6,2.0,0.1576,40.704,40.704,I want to downgrade my plan but keep my current phone number.,1
headline,select,c5bdae80,2026-03-15T01:38:35.629121,select,Qwen/Qwen3.5-27B,3,1,True,billing,6,2.0,0.1577,83.191,83.191,Someone made unauthorized purchases on my account and I need it frozen.,1
headline,select,e54044f4,2026-03-15T01:38:35.803305,select,Qwen/Qwen3.5-27B,3,1,True,technical,6,2.0,0.1615,88.02,88.02,How do I set up parental controls on the new set-top box?,1
headline,json,cd2d599b,2026-03-15T01:38:45.975815,json,Qwen/Qwen3.5-27B,3,1,True,billing,48,16.0,0.526,210.479,210.479,I was charged twice for my subscription last month and I need a refund immediately.,1
headline,json,5cd1c75e,2026-03-15T01:38:46.509953,json,Qwen/Qwen3.5-27B,3,1,True,technical,48,16.0,0.5169,226.074,226.074,My internet keeps dropping every 30 minutes and I've already restarted the router.,1
headline,json,7ff28b74,2026-03-15T01:38:47.043384,json,Qwen/Qwen3.5-27B,3,1,True,cancellation,51,17.0,0.5308,228.311,228.311,I want to cancel my account effective immediately and get a prorated refund.,1
headline,json,57c79546,2026-03-15T01:38:47.582154,json,Qwen/Qwen3.5-27B,3,1,True,general,48,16.0,0.5189,230.187,230.187,What are your business hours and do you have a location near downtown?,1
headline,json,3d9003dd,2026-03-15T01:38:48.110690,json,Qwen/Qwen3.5-27B,3,1,True,technical,48,16.0,0.5174,295.628,295.628,The app crashes every time I try to upload a file larger than 10MB.,1
headline,json,8a9447a0,2026-03-15T01:38:48.645127,json,Qwen/Qwen3.5-27B,3,1,True,general,48,16.0,0.5217,231.954,231.954,Can you explain the difference between your premium and basic plans?,1
headline,json,febe136f,2026-03-15T01:38:49.181851,json,Qwen/Qwen3.5-27B,3,1,True,billing,48,16.0,0.511,227.264,227.264,I need to update the credit card on file for automatic payments.,1
headline,json,9a40c15b,2026-03-15T01:38:49.697814,json,Qwen/Qwen3.5-27B,3,1,True,technical,48,16.0,0.3403,244.547,244.547,My smart home device won't connect to the WiFi after the firmware update.,1
headline,json,017b6e61,2026-03-15T01:38:50.045293,json,Qwen/Qwen3.5-27B,3,1,True,general,46,15.3,0.3461,172.829,172.829,I'm moving next month and need to transfer my service to a new address.,1
headline,json,0a1a418e,2026-03-15T01:38:50.396342,json,Qwen/Qwen3.5-27B,3,1,True,billing,48,16.0,0.3415,172.275,172.275,Your website says my payment failed but my bank shows it went through.,1
headline,json,7d40c18c,2026-03-15T01:38:50.743057,json,Qwen/Qwen3.5-27B,3,1,True,cancellation,51,17.0,0.534,233.547,233.547,I've been a customer for 5 years and I'm thinking about switching to a competitor.,1
headline,json,9be6c3ae,2026-03-15T01:38:51.283597,json,Qwen/Qwen3.5-27B,3,1,True,technical,48,16.0,0.3399,172.028,172.028,The remote control for my cable box isn't responding to any button presses.,1
headline,json,b318656d,2026-03-15T01:38:51.632151,json,Qwen/Qwen3.5-27B,3,3,True,billing,141,15.7,1.2117,723.451,723.451,I'd like to add a second line to my family plan. What are the options?,1
headline,json,c06a3dc0,2026-03-15T01:38:52.857806,json,Qwen/Qwen3.5-27B,3,1,True,billing,48,16.0,0.3426,172.581,172.581,My bill this month is $40 higher than usual and I don't see any explanation.,1
headline,json,88e29459,2026-03-15T01:38:53.209753,json,Qwen/Qwen3.5-27B,3,1,True,technical,48,16.0,0.3414,240.272,240.272,I can't log into my account even after resetting my password three times.,1
headline,json,a739b112,2026-03-15T01:38:53.569238,json,Qwen/Qwen3.5-27B,3,1,True,billing,48,16.0,0.3385,167.726,167.726,Do you offer any senior citizen discounts on your monthly plans?,1
headline,json,c2d14d8f,2026-03-15T01:38:53.924745,json,Qwen/Qwen3.5-27B,3,1,True,technical,48,16.0,0.3413,246.123,246.123,The picture quality on my streaming is terrible even though I have gigabit internet.,1
headline,json,d13f9862,2026-03-15T01:38:54.274721,json,Qwen/Qwen3.5-27B,3,2,True,billing,97,16.2,0.8666,490.747,490.747,I want to downgrade my plan but keep my current phone number.,1
headline,json,9f727f94,2026-03-15T01:38:55.147758,json,Qwen/Qwen3.5-27B,3,1,True,billing,48,16.0,0.3391,167.892,167.892,Someone made unauthorized purchases on my account and I need it frozen.,1
headline,json,449aa1c3,2026-03-15T01:38:55.498177,json,Qwen/Qwen3.5-27B,3,1,True,technical,48,16.0,0.3371,173.411,173.411,How do I set up parental controls on the new set-top box?,1
headline,cot_select,5ef06d02,2026-03-15T01:39:05.840871,cot_select,Qwen/Qwen3.5-27B,3,1,True,billing,2166,722.0,10.0898,7176.82,7176.82,I was charged twice for my subscription last month and I need a refund immediately.,1
headline,cot_select,8b9a7434,2026-03-15T01:39:15.935821,cot_select,Qwen/Qwen3.5-27B,3,1,True,technical,2500,833.3,13.2353,9633.67,9633.67,My internet keeps dropping every 30 minutes and I've already restarted the router.,1
headline,cot_select,49969135,2026-03-15T01:39:29.175795,cot_select,Qwen/Qwen3.5-27B,3,1,True,cancellation,2871,957.0,13.6081,9860.457,9860.457,I want to cancel my account effective immediately and get a prorated refund.,1
headline,cot_select,dec998aa,2026-03-15T01:39:42.788544,cot_select,Qwen/Qwen3.5-27B,3,1,True,general,1623,541.0,9.1392,6605.529,6605.529,What are your business hours and do you have a location near downtown?,1
headline,cot_select,4ec1db6a,2026-03-15T01:39:51.936200,cot_select,Qwen/Qwen3.5-27B,3,1,True,technical,2274,758.0,10.9163,7975.01,7975.01,The app crashes every time I try to upload a file larger than 10MB.,1
headline,cot_select,c534d8c7,2026-03-15T01:40:02.857796,cot_select,Qwen/Qwen3.5-27B,3,4,True,billing,11987,998.9,54.2599,39573.042,39573.042,Can you explain the difference between your premium and basic plans?,1
headline,cot_select,651e40ec,2026-03-15T01:40:57.124207,cot_select,Qwen/Qwen3.5-27B,3,1,True,billing,2238,746.0,11.6285,8494.012,8494.012,I need to update the credit card on file for automatic payments.,1
headline,cot_select,c49e98d4,2026-03-15T01:41:08.757623,cot_select,Qwen/Qwen3.5-27B,3,1,True,technical,2104,701.3,9.7521,7111.416,7111.416,My smart home device won't connect to the WiFi after the firmware update.,1
headline,cot_select,c2b4e017,2026-03-15T01:41:18.516108,cot_select,Qwen/Qwen3.5-27B,3,5,False,billing,14650,976.7,67.4411,49496.782,49496.782,I'm moving next month and need to transfer my service to a new address.,1
headline,cot_select,3a19102e,2026-03-15T01:42:25.963647,cot_select,Qwen/Qwen3.5-27B,3,1,True,billing,2407,802.3,12.4109,9123.941,9123.941,Your website says my payment failed but my bank shows it went through.,1
headline,cot_select,563b3e68,2026-03-15T01:42:38.382367,cot_select,Qwen/Qwen3.5-27B,3,1,True,cancellation,2710,903.3,13.5578,9934.648,9934.648,I've been a customer for 5 years and I'm thinking about switching to a competitor.,1
headline,cot_select,f572b4b9,2026-03-15T01:42:51.945585,cot_select,Qwen/Qwen3.5-27B,3,1,True,technical,2110,703.3,11.6257,8571.862,8571.862,The remote control for my cable box isn't responding to any button presses.,1
headline,cot_select,71baf6bf,2026-03-15T01:43:03.576090,cot_select,Qwen/Qwen3.5-27B,3,1,True,billing,3000,1000.0,13.4646,9910.886,9910.886,I'd like to add a second line to my family plan. What are the options?,1
headline,cot_select,a8df4f00,2026-03-15T01:43:17.052403,cot_select,Qwen/Qwen3.5-27B,3,1,True,billing,2246,748.7,12.5694,9191.679,9191.679,My bill this month is $40 higher than usual and I don't see any explanation.,1
headline,cot_select,658c839b,2026-03-15T01:43:29.640077,cot_select,Qwen/Qwen3.5-27B,3,1,True,technical,2613,871.0,12.5043,9286.597,9286.597,I can't log into my account even after resetting my password three times.,1
headline,cot_select,f8c85a67,2026-03-15T01:43:42.149040,cot_select,Qwen/Qwen3.5-27B,3,1,True,billing,3000,1000.0,13.4577,9842.808,9842.808,Do you offer any senior citizen discounts on your monthly plans?,1
headline,cot_select,f0e5bdc4,2026-03-15T01:43:55.617485,cot_select,Qwen/Qwen3.5-27B,3,1,True,technical,2468,822.7,12.0035,8829.631,8829.631,The picture quality on my streaming is terrible even though I have gigabit internet.,1
headline,cot_select,807c33c5,2026-03-15T01:44:07.627357,cot_select,Qwen/Qwen3.5-27B,3,1,True,billing,3000,1000.0,13.4614,9913.448,9913.448,I want to downgrade my plan but keep my current phone number.,1
headline,cot_select,ab6bb06d,2026-03-15T01:44:21.097382,cot_select,Qwen/Qwen3.5-27B,3,1,True,billing,3000,1000.0,13.4626,9913.977,9913.977,Someone made unauthorized purchases on my account and I need it frozen.,1
headline,cot_select,94d53b72,2026-03-15T01:44:34.566438,cot_select,Qwen/Qwen3.5-27B,3,1,True,technical,2229,743.0,10.2871,7554.462,7554.462,How do I set up parental controls on the new set-top box?,1
headline,nl_debate,a0b8a7dc,2026-03-15T01:44:54.858926,nl_debate,Qwen/Qwen3.5-27B,3,1,True,billing,4019,1339.7,23.8946,17485.691,17485.691,I was charged twice for my subscription last month and I need a refund immediately.,1
headline,nl_debate,86c608cb,2026-03-15T01:45:18.758617,nl_debate,Qwen/Qwen3.5-27B,3,1,True,technical,3874,1291.3,22.7724,16606.847,16606.847,My internet keeps dropping every 30 minutes and I've already restarted the router.,1
headline,nl_debate,819380e2,2026-03-15T01:45:41.537446,nl_debate,Qwen/Qwen3.5-27B,3,2,True,cancellation,10309,1718.2,52.8054,38654.223,38654.223,I want to cancel my account effective immediately and get a prorated refund.,1
headline,nl_debate,28dc0832,2026-03-15T01:46:34.348612,nl_debate,Qwen/Qwen3.5-27B,3,1,True,general,4563,1521.0,21.2709,15489.041,15489.041,What are your business hours and do you have a location near downtown?,1
headline,nl_debate,67efe8ec,2026-03-15T01:46:55.635002,nl_debate,Qwen/Qwen3.5-27B,3,1,True,technical,5764,1921.3,26.9278,19830.399,19830.399,The app crashes every time I try to upload a file larger than 10MB.,1
headline,nl_debate,ad5a8380,2026-03-15T01:47:22.567738,nl_debate,Qwen/Qwen3.5-27B,3,4,True,general,15811,1317.6,81.7427,59760.857,59760.857,Can you explain the difference between your premium and basic plans?,1
headline,nl_debate,c7639fa1,2026-03-15T01:48:44.319304,nl_debate,Qwen/Qwen3.5-27B,3,1,True,billing,4802,1600.7,23.5573,16577.455,16577.455,I need to update the credit card on file for automatic payments.,1
headline,nl_debate,fba3591f,2026-03-15T01:49:07.881646,nl_debate,Qwen/Qwen3.5-27B,3,1,True,technical,3423,1141.0,21.9041,16191.667,16191.667,My smart home device won't connect to the WiFi after the firmware update.,1
headline,nl_debate,a709de34,2026-03-15T01:49:29.794181,nl_debate,Qwen/Qwen3.5-27B,3,1,True,general,4756,1585.3,26.6285,19575.492,19575.492,I'm moving next month and need to transfer my service to a new address.,1
headline,nl_debate,19e4941d,2026-03-15T01:49:56.428607,nl_debate,Qwen/Qwen3.5-27B,3,2,True,billing,10064,1677.3,52.3836,38467.609,38467.609,Your website says my payment failed but my bank shows it went through.,1
headline,nl_debate,0481b386,2026-03-15T01:50:48.822341,nl_debate,Qwen/Qwen3.5-27B,3,1,True,cancellation,6000,2000.0,27.2411,19937.394,19937.394,I've been a customer for 5 years and I'm thinking about switching to a competitor.,1
headline,nl_debate,10664d73,2026-03-15T01:51:16.074467,nl_debate,Qwen/Qwen3.5-27B,3,1,True,technical,4986,1662.0,24.073,17706.382,17706.382,The remote control for my cable box isn't responding to any button presses.,1
headline,nl_debate,bee263af,2026-03-15T01:51:40.159679,nl_debate,Qwen/Qwen3.5-27B,3,5,False,billing,21920,1461.3,123.7329,90983.226,90983.226,I'd like to add a second line to my family plan. What are the options?,1
headline,nl_debate,bde56534,2026-03-15T01:53:43.897448,nl_debate,Qwen/Qwen3.5-27B,3,1,True,billing,4965,1655.0,23.5805,17350.399,17350.399,My bill this month is $40 higher than usual and I don't see any explanation.,1
headline,nl_debate,d4552923,2026-03-15T01:54:07.482783,nl_debate,Qwen/Qwen3.5-27B,3,1,True,technical,3558,1186.0,26.0848,19366.81,19366.81,I can't log into my account even after resetting my password three times.,1
headline,nl_debate,f3ae2585,2026-03-15T01:54:33.575992,nl_debate,Qwen/Qwen3.5-27B,3,1,True,billing,6000,2000.0,27.0261,19835.747,19835.747,Do you offer any senior citizen discounts on your monthly plans?,1
headline,nl_debate,f408d19b,2026-03-15T01:55:00.610400,nl_debate,Qwen/Qwen3.5-27B,3,1,True,technical,4630,1543.3,25.0535,18501.781,18501.781,The picture quality on my streaming is terrible even though I have gigabit internet.,1
headline,nl_debate,3ae33bc4,2026-03-15T01:55:25.682108,nl_debate,Qwen/Qwen3.5-27B,3,1,True,billing,6000,2000.0,27.0369,19826.784,19826.784,I want to downgrade my plan but keep my current phone number.,1
headline,nl_debate,782bfc0e,2026-03-15T01:55:52.727487,nl_debate,Qwen/Qwen3.5-27B,3,1,True,billing,6000,2000.0,27.0324,19866.351,19866.351,Someone made unauthorized purchases on my account and I need it frozen.,1
headline,nl_debate,6a9ec8b7,2026-03-15T01:56:19.767873,nl_debate,Qwen/Qwen3.5-27B,3,1,True,technical,4070,1356.7,25.1725,18524.923,18524.923,How do I set up parental controls on the new set-top box?,1
scaling,select_2a,0e225b9f,2026-03-15T01:56:44.945922,select,Qwen/Qwen3.5-27B,2,1,True,billing,4,2.0,0.1671,39.691,39.691,I was charged twice for my subscription last month and I need a refund immediately.,1
scaling,select_2a,d74874ba,2026-03-15T01:56:45.118728,select,Qwen/Qwen3.5-27B,2,1,True,technical,4,2.0,0.32,100.716,100.716,My internet keeps dropping every 30 minutes and I've already restarted the router.,1
scaling,select_2a,57faac52,2026-03-15T01:56:45.444525,select,Qwen/Qwen3.5-27B,2,1,True,cancellation,6,3.0,0.1724,36.484,36.484,I want to cancel my account effective immediately and get a prorated refund.,1
scaling,select_2a,695b3bba,2026-03-15T01:56:45.623194,select,Qwen/Qwen3.5-27B,2,1,True,general,4,2.0,0.1528,87.239,87.239,What are your business hours and do you have a location near downtown?,1
scaling,select_2a,e7b2049c,2026-03-15T01:56:45.780776,select,Qwen/Qwen3.5-27B,2,1,True,technical,4,2.0,0.1533,42.689,42.689,The app crashes every time I try to upload a file larger than 10MB.,1
scaling,select_2a,74a780d2,2026-03-15T01:56:45.938848,select,Qwen/Qwen3.5-27B,2,1,True,general,4,2.0,0.1537,83.244,83.244,Can you explain the difference between your premium and basic plans?,1
scaling,select_2a,e34b5873,2026-03-15T01:56:46.097699,select,Qwen/Qwen3.5-27B,2,1,True,billing,4,2.0,0.1571,84.282,84.282,I need to update the credit card on file for automatic payments.,1
scaling,select_2a,bdeaddbc,2026-03-15T01:56:46.259591,select,Qwen/Qwen3.5-27B,2,1,True,technical,4,2.0,0.0956,47.35,47.35,My smart home device won't connect to the WiFi after the firmware update.,1
scaling,select_2a,de62a16d,2026-03-15T01:56:46.361917,select,Qwen/Qwen3.5-27B,2,1,True,general,4,2.0,0.1535,41.461,41.461,I'm moving next month and need to transfer my service to a new address.,1
scaling,select_2a,16617786,2026-03-15T01:56:46.520402,select,Qwen/Qwen3.5-27B,2,1,True,billing,4,2.0,0.1525,86.378,86.378,Your website says my payment failed but my bank shows it went through.,1
scaling,nl_debate_2a,779a1148,2026-03-15T01:56:56.678102,nl_debate,Qwen/Qwen3.5-27B,2,1,True,billing,2500,1250.0,21.6788,16020.211,16020.211,I was charged twice for my subscription last month and I need a refund immediately.,1
scaling,nl_debate_2a,53dab8c7,2026-03-15T01:57:18.363618,nl_debate,Qwen/Qwen3.5-27B,2,1,True,technical,3305,1652.5,25.6562,18896.834,18896.834,My internet keeps dropping every 30 minutes and I've already restarted the router.,1
scaling,nl_debate_2a,b5409e00,2026-03-15T01:57:44.026068,nl_debate,Qwen/Qwen3.5-27B,2,1,True,cancellation,2807,1403.5,25.8668,19220.452,19220.452,I want to cancel my account effective immediately and get a prorated refund.,1
scaling,nl_debate_2a,d4a05429,2026-03-15T01:58:09.897669,nl_debate,Qwen/Qwen3.5-27B,2,1,True,general,2202,1101.0,19.5188,14468.735,14468.735,What are your business hours and do you have a location near downtown?,1
scaling,nl_debate_2a,827d528d,2026-03-15T01:58:29.422402,nl_debate,Qwen/Qwen3.5-27B,2,1,True,technical,3588,1794.0,26.5023,19396.372,19396.372,The app crashes every time I try to upload a file larger than 10MB.,1
scaling,nl_debate_2a,7eb1cb0b,2026-03-15T01:58:55.935108,nl_debate,Qwen/Qwen3.5-27B,2,2,True,billing,7696,1924.0,53.0661,38952.509,38952.509,Can you explain the difference between your premium and basic plans?,1
scaling,nl_debate_2a,7cf4dbb9,2026-03-15T01:59:49.006062,nl_debate,Qwen/Qwen3.5-27B,2,1,True,billing,3217,1608.5,21.8892,16039.644,16039.644,I need to update the credit card on file for automatic payments.,1
scaling,nl_debate_2a,156fab6c,2026-03-15T02:00:10.900211,nl_debate,Qwen/Qwen3.5-27B,2,1,True,technical,2518,1259.0,21.5111,15721.759,15721.759,My smart home device won't connect to the WiFi after the firmware update.,1
scaling,nl_debate_2a,a289e987,2026-03-15T02:00:32.417795,nl_debate,Qwen/Qwen3.5-27B,2,3,True,general,7804,1300.7,65.0585,47969.741,47969.741,I'm moving next month and need to transfer my service to a new address.,1
scaling,nl_debate_2a,29a32398,2026-03-15T02:01:37.481455,nl_debate,Qwen/Qwen3.5-27B,2,1,True,billing,3002,1501.0,22.0792,16362.275,16362.275,Your website says my payment failed but my bank shows it went through.,1
scaling,select_3a,02859073,2026-03-15T02:02:09.565913,select,Qwen/Qwen3.5-27B,3,1,True,billing,6,2.0,0.1712,33.386,33.386,I was charged twice for my subscription last month and I need a refund immediately.,1
scaling,select_3a,64c5ed39,2026-03-15T02:02:09.742236,select,Qwen/Qwen3.5-27B,3,1,True,technical,6,2.0,1.2909,346.146,346.146,My internet keeps dropping every 30 minutes and I've already restarted the router.,1
scaling,select_3a,afacf22c,2026-03-15T02:02:11.038034,select,Qwen/Qwen3.5-27B,3,1,True,cancellation,9,3.0,0.1708,87.599,87.599,I want to cancel my account effective immediately and get a prorated refund.,1
scaling,select_3a,2b81c898,2026-03-15T02:02:11.223947,select,Qwen/Qwen3.5-27B,3,1,True,general,6,2.0,0.1545,92.863,92.863,What are your business hours and do you have a location near downtown?,1
scaling,select_3a,f186eced,2026-03-15T02:02:11.383344,select,Qwen/Qwen3.5-27B,3,1,True,technical,6,2.0,0.1569,43.849,43.849,The app crashes every time I try to upload a file larger than 10MB.,1
scaling,select_3a,8694e8b3,2026-03-15T02:02:11.545148,select,Qwen/Qwen3.5-27B,3,1,True,general,6,2.0,0.1621,42.443,42.443,Can you explain the difference between your premium and basic plans?,1
scaling,select_3a,cb7fd4f7,2026-03-15T02:02:11.723834,select,Qwen/Qwen3.5-27B,3,1,True,billing,6,2.0,0.1553,84.012,84.012,I need to update the credit card on file for automatic payments.,1
scaling,select_3a,46edb0fc,2026-03-15T02:02:11.884090,select,Qwen/Qwen3.5-27B,3,1,True,technical,6,2.0,0.1555,43.994,43.994,My smart home device won't connect to the WiFi after the firmware update.,1
scaling,select_3a,5b9af332,2026-03-15T02:02:12.044556,select,Qwen/Qwen3.5-27B,3,1,True,general,6,2.0,0.1557,40.164,40.164,I'm moving next month and need to transfer my service to a new address.,1
scaling,select_3a,71172662,2026-03-15T02:02:12.207140,select,Qwen/Qwen3.5-27B,3,1,True,billing,6,2.0,0.1655,84.147,84.147,Your website says my payment failed but my bank shows it went through.,1
scaling,nl_debate_3a,a267bd2b,2026-03-15T02:02:22.381132,nl_debate,Qwen/Qwen3.5-27B,3,1,True,billing,4189,1396.3,22.4919,16464.716,16464.716,I was charged twice for my subscription last month and I need a refund immediately.,1
scaling,nl_debate_3a,15956ac9,2026-03-15T02:02:44.878255,nl_debate,Qwen/Qwen3.5-27B,3,1,True,technical,4197,1399.0,22.2551,16312.972,16312.972,My internet keeps dropping every 30 minutes and I've already restarted the router.,1
scaling,nl_debate_3a,3b458a7d,2026-03-15T02:03:07.138254,nl_debate,Qwen/Qwen3.5-27B,3,2,True,cancellation,11016,1836.0,52.9948,38897.487,38897.487,I want to cancel my account effective immediately and get a prorated refund.,1
scaling,nl_debate_3a,16dccbf1,2026-03-15T02:04:00.138698,nl_debate,Qwen/Qwen3.5-27B,3,1,True,general,4534,1511.3,25.508,18860.829,18860.829,What are your business hours and do you have a location near downtown?,1
scaling,nl_debate_3a,898a1b28,2026-03-15T02:04:25.657783,nl_debate,Qwen/Qwen3.5-27B,3,1,True,technical,4285,1428.3,24.7758,18225.751,18225.751,The app crashes every time I try to upload a file larger than 10MB.,1
scaling,nl_debate_3a,2097ce89,2026-03-15T02:04:50.438417,nl_debate,Qwen/Qwen3.5-27B,3,2,True,general,8706,1451.0,46.2422,34135.134,34135.134,Can you explain the difference between your premium and basic plans?,1
scaling,nl_debate_3a,f2589c2e,2026-03-15T02:05:36.685515,nl_debate,Qwen/Qwen3.5-27B,3,1,True,billing,4484,1494.7,23.8628,17624.538,17624.538,I need to update the credit card on file for automatic payments.,1
